*,en,de
LANGUAGE,English,Deutsch
STAMINA_LEFT,Stamina,Ausdauer
STAMINA_OUT,Stamina,Atemlos
SETTINGS_LANGUAGE_LABEL,Language,Sprache
GAMEMENU_INVENTORY_BUTTON,Inventory,Inventar
GAMEMENU_CRAFTING_BUTTON,Crafting,Herstellen
GAMEMENU_SAVELOAD_BUTTON,Save,Speichern
GAMEMENU_SETTINGS_BUTTON,Settings,Einstellungen
GAMEMENU_HELP_BUTTON,Guide,Handbuch
SETTINGS_MASTER_VOLUME,Master Volume,Gesamtlautstärke
SETTINGS_SFX_VOLUME,SFX Volume,SFX Lautstärke
SETTINGS_MUSIC_VOLUME,Music Volume,Musik Lautstärke
SETTINGS_HAVE_SAVED,Don't forget to save!,Vergiss nicht zu speichern!
SETTINGS_WINDOW_LABEL,Window Mode,Fenstermodus
SETTINGS_WINDOW_DIFFICULTY,Difficulty,Schwierigkeitsgrad
,,
,,
DISCOVERY_TITLE,Discovered:,Entdeckt:
DISCOVERY_DESC,You Found: ,Du hast gefunden: 
DISCORVERY_SAVE,Archiving data,Daten archivieren
,,
GAMEMENU_DESTROY_MENU,Destroy Window,Vernichtungsfenster
GAMEMENU_WORLD_MAP,World Map,Weltkarte
GAMEMENU_FURNACE,> Furnace,> Ofen
GAMEMENU_CHEST,> Chest,> Kiste
GAMEMENU_RESEARCH_TABLE,> Research Table,> Forschungstisch
GAMEMENU_QUEST_MENU,> Quest Overview,> Aufgabenübersicht
GAMEMENU_TRASHCHEST,> Trash Chest,> Müll Kiste
,,
WORLD_MAP_WORLD_FILTER,World Filter,Weltfilter
WORLD_MAP_CLEAR_FILTER,Clear Filter,Filter entfernen
WORLD_MAP_REMOVEABLE,Removeable,Entfernbar
WORLD_MAP_TRADER,Traders,Händler
WORLD_MAP_QUESTS,Quests,Aufgaben
,,
DESTROY_MENU_TITLE,Destroy this object.,Objekt zerstören.
DESTROY_MENU_DESCRIPTION,Do you really want to destroy this object? You are not able to restore this object in the future.,Möchtest du dieses Objekt wirklich zerstören? Du kannst es in der Zukunft nicht rückgängig machen.
DESTROY_MENU_BUTTON,Destroy Object,Objekt zerstören
,,
,,
PLAYERUI_GAMETIME,Game time,Spielzeit
PLAYERUI_QUEST_OBJECTIV,Objectiv,Aufgabe
PLAYERUI_QUEST_TIME_LEFT,Time left,Zeit übrig
