key,de,en
01009D_78BE3E,"Denk dran, die Zeit läuft!","Remember, time is running out!"
01009D_DD9B12,ICH HAB HUNGER!,"I AM HUNGRY!"
01009D_10DD4E,Lass mich nicht so lange warten!,"Don't make me wait so long!"
01009D_FE98E3,The time is running!,"The time is running!"
01009D_C9DB04,I'AM HUNGRY!,"I AM HUNGRY!"
01009D_EF4FEF,Don't let me wait so long!,"Don't let me wait so long!"
01009D_11C046,ROAW!,"ROAW!"
01009D_878EEF,"ROAW! Wie kannst du mich nur warten lassen!","ROAW! How could you make me wait!"
01009D_B335BE,"Ich glaube ich seh nicht richtig! Kein Essen!","I can't believe my eyes! No food!"
01009D_3E1C01,"Willst du so dringend, dass ich dich fresse!?","Do you really want it so badly that I eat you!?"
01009D_EE3F16,[b][color=gold]Du musst bestraft werden![/color][/b],[b][color=gold]You must be punished![/color][/b]
01009D_52F7EA,ROAW! Do you really want to let me wait?,ROAW! Do you really want to let me wait?
01009D_72F5B1,I think I have seeing issues! There is no Food!,"I think I'm seeing things! There is no food!"
01009D_34246E,"Do you really want that badly, that I eat you?","Do you really want it that badly, that I eat you?"
01009D_CE8DE4,[b][color=gold]You will be punished![/color][/b],[b][color=gold]You will be punished![/color][/b]
01009D_31DEF4,"ROAW! Wie kannst du mich nur warten lassen!","ROAW! How could you make me wait!"
01009D_614FAF,"Ich glaube ich seh nicht richtig! Kein Essen!","I can't believe my eyes! No food!"
01009D_078380,"Willst du so dringend, dass ich dich fresse!?","Do you really want it so badly that I eat you!?"
01009D_08996B,[b][color=gold]Du musst bestraft werden![/color][/b],[b][color=gold]You must be punished![/color][/b]
01009D_3B5A56,ROAW! Do you really want to let me wait?,ROAW! Do you really want to let me wait?
01009D_B88289,I think I have seeing issues! There is no Food!,"I think I'm seeing things! There is no food!"
01009D_484954,"Do you really want that badly, that I eat you?","Do you really want it that badly, that I eat you?"
01009D_D914CC,[b][color=gold]You will be punished![/color][/b],[b][color=gold]You will be punished![/color][/b]
01009D_FCC642,"ROAW! Wie kannst du mich nur warten lassen!","ROAW! How could you make me wait!"
01009D_9F60D1,"Ich glaube ich seh nicht richtig! Kein Essen!","I can't believe my eyes! No food!"
01009D_9717E1,"Willst du so dringend, dass ich dich fresse!?","Do you really want it so badly that I eat you!?"
01009D_A937CD,[b][color=gold]Du musst bestraft werden![/color][/b],[b][color=gold]You must be punished![/color][/b]
01009D_112F35,ROAW! Do you really want to let me wait?,ROAW! Do you really want to let me wait?
01009D_8463F5,I think I have seeing issues! There is no Food!,"I think I'm seeing things! There is no food!"
01009D_FA1AAD,"Do you really want that badly, that I eat you?","Do you really want it that badly, that I eat you?"
01009D_CF8B94,[b][color=gold]You will be punished![/color][/b],[b][color=gold]You will be punished![/color][/b]
