,en,de
RESOURCE,Resource,Ressource
TOOL,Tool,Werkzeug
WEAPON,Weapon,Waffe
CLOTHS,Cloths,Kleidung
PLACEABLE,Placeable,Platzierbar
ALL,All,Alles
SMELTABLE,Smeltable,Schmelzbar
BURNABLE,Burnable,Brennbar
PROCESSED,Processed,Verarbeitet
RESEARCHABLE,Researchable,Erforschbar
TYPE,Type,Typ
BURNTIME,Burntime,Brennzeit
,,
,,
WOOD,Wood,Holz
WOOD_DESC,Material from a tree,Material von einem Baum
STONE,Stone,Stein
STONE_DESC,A hard natural material,ein natürliches Hartprodukt
WOOD_STICK,Wooden Stick,Holzstab
WOOD_STICK_DESC,A long piece of wood,Ein längliches Stück Holz
STONE_PICKAXE,Stone Pickaxe,Steinspitzhacke
STONE_PICKAXE_DESC,A tool for faster mining,Ein Werkzeug zum schnelleren abbauen
WOOD_PLANK,Wooden Plank,Holzplatte
WOOD_PLANK_DESC,A processed piece of wood,Ein Stück verarbeitetes Holz
WOODEN_AXE,Wooden Axe,Holzaxt
WOODEN_AXE_DESC,A tool to break trees faster,Ein Werkzeug um schneller Bäume zu fällen
CHAR_COAL,Char Coal,Holzkohle
CHAR_COAL_DESC,A burned piece of wood,Ein verbranntes Stück Holz
IRON_ORE,Iron Ore,Eisenerz
IRON_ORE_DESC,A lump of Iron,Ein klumpen Eisenerz
IRON_INGOT,Iron Ingot,Eisenbarren
IRON_INGOT_DESC,A processed piece of Iron,Ein geschmiedetes Stück Eisen
COPPER_ORE,Copper Ore,Kupfererz
COPPER_ORE_DESC,A lump of Copper,Ein klumpen Kupfererz
COPPER_INGOT,Copper Ingot,Kupferbarren
COPPER_INGOT_DESC,a processed piece of copper,Ein geschmiedetes Stück Kupfer
STONE_KNIFE,Stone Knife,Steinmesser
STONE_KNIFE_DESC,A tool for cutting,Ein Werkzeug zum schneiden
MYSTIC_FIBRE,Mystic Fibre,Mystische Fasern
MYSTIC_FIBRE_DESC,A XXXXXXXX,A XXXXXXXX
MYSTIC_WOOD,Mystic Wood,Mystisches Holz
MYSTIC_WOOD_DESC,A XXXXXXXX,A XXXXXXXX
FIBRE,Fibre,Faser
FIBRE_DESC,A fibre to bind tools,Eine Faser um Werkzeuge zu binden
STONE_BLADE,Stone Blade,Steinschneide
STONE_BLADE_DESC,A stone with a sharp edge,Ein Stein mit einer scharfen Kante
GLASS,glass,Glass
GLASS_DESC,glass made of sand ,Aus Sand geschmolzenes Glas
STONE_AXE_HEAD,Stone Axe Head,Steinaxtkopf
STONE_AXE_HEAD_DESC,A stone formed as a axe head,Ein Stein geformt wie ein Axtkopf
STONE_PICKAXE_HEAD,Stone Pickaxe Head,Steinspitzhackenkopf
STONE_PICKAXE_HEAD_DESC,A stone formed as a pickaxe head,Ein Stein geformt wie ein Spitzhackenkopf
WOODEN_HOE_HEAD,Wooden Hoe Head,Holzhackenkopf
WOODEN_HOE_HEAD_DESC,A piece of wood formed as a hoe head,Ein Holzstück geformt als ein Hackenkopf
WOODEN_HOE,Wooden Hoe Head,Holzhacke
WOODEN_HOE_DESC,A tool to break plants faster,Ein Werkzeug um schneller Pflanzen zu säen
WOODEN_AXE_HEAD,Wooden Axe Head,Holzaxtkopf
WOODEN_AXE_HEAD_DESC,A piece of wood formed as a axe head,Ein Holzstück geformt als ein Axtkopf
WHEAT,Wheat,Weizen
WHEAT_DESC,fresh wheat,Frisch geernteter Weizenstängel
IRON_BLOCK,Iron Block,Eisenblock
IRON_BLOCK_DESC,Block of Iron,Block aus Eisen
WHEAT_SEED,Wheat Seeds,Weizensamen
WHEAT_SEED_DESC,Seeds made from wheat,Samen hergestellt aus Weizen
POTATO,Potato,Kartoffel
POTATO_DESC,fresh potato,Frisch ausgebüddelte Kartoffel
POTATO_SEED,Potato Seeds,Kartoffelsamen
POTATO_SEED_DESC,Seeds made from potatos,Samen hergestellt aus Kartoffeln
CARROT,Carrot,Karotte
CARROT_DESC,fresh carrot,Samen hergestellt aus Karotten
CARROT_SEED,Carrot Seeds,Karottensamen
CARROT_SEED_DESC,Seeds made from Carrots,Samen hergestellt aus Karotten
CORN,Corn,Mais
CORN_DESC,fresh corn,Frisch geflückter Mais
CORN_SEED,Corn Seeds,Maissamen
CORN_SEED_DESC,Seeds made from Corn,Samen hergestellt aus Mais
SAND,Sand,Sand
SAND_DESC,A handfull sand,Eine Schaufel Sand
SAND_STONE,sandstone,Sandstein
SAND_STONE_DESC,has a chance to give more sand,Ein Sandstein gibt die möglichkeit auf mehr Sand
MYSTIC_ARMOR_HELM,Mystic Helm,Mystischer Helm
MYSTIC_ARMOR_HELM_DESC,A mysterious helm,Ein mysteriöser Helm
MYSTIC_ARMOR_CHESTPLATE,Mystic Chestplate,Mystischer Brustpanzer
MYSTIC_ARMOR_CHESTPLATE_DESC,A mysterious chestplate,Ein mysteriöser Brustpanzer
MYSTIC_ARMOR_LEGGINGS,Mystic Leggings,Mystische Hose
MYSTIC_ARMOR_LEGGINGS_DESC,A mysterious leggings,Eine mysteriöse Hose
MYSTIC_ARMOR_SHOES,Mystic Shoes,Mystische Schuhe
MYSTIC_ARMOR_SHOES_DESC,A mysterious shoes,Ein mysteriöses Paar Schuhe
