keys,de,en
td22f96c25a,"So du hast dich entschieden, mich auf ewig zu füttern?",So you've decided to feed me for eternity?
t1a00e28863,Ha! Aber sowas von!,Ha! That's right.
tc7252e8194,"Mh, und Jetzt?",And what now?
t2dfd082617,"Gute Frage, lass uns das Gespräch beeenden!","Good question, let's leave it at that!"
t5a2c780734,Nee! Es muss noch ein Tutorial kommen!,We still have to do a Tutorial.
tab121e7b36,Egal ob du willst oder nicht!,If you want to or not.
tf922b1a70a,"Vielleicht weißt du gar nicht, wie man dieses Spiel spielt!",Maybe you*ve got no idea how to play the game!
t2786c55b68,"Okay, Boss! Was soll ich machen?",Okay Boss! What should I do now?
te14b93a146,"Gut, als erstes solltest du wissen, wie man Resourcen bekommt.","Now then, for now you need to learn how to farm resources."
t716c5bbe5d,Klingt logisch!,Sounds about right!
t548068f41c,Wenigstens hast du einen Plan!,At least you've got a Plan.
t263e5c310d,Aufpassen! Das ist Holz!,ATTENTION!! That's wood.
t2d6c861afa,"Wenn du das abbaust, wird automatisch Holz in dein Inventar gepackt.",If you chop that tree down you'll get wood.
t58cadcac6d,"Machst du es sogar ein paar mal, zerfällt er vollständig und du kriegst sogar noch einen Bonus!",If you do that a few times in a row it'll eventually break.
tfc520b6514,Verstanden?,Understood?
tf93b34a220,"Ja, Mega!",Awesome!
t8aa7d4829e,Versteh ich nicht,I don't get it :/
tf631a2c790,Ich glaube das musst du mir nochmal erklären :/,Can you explain that again?
t738dd97990,Das ist ja mega geil! Ich schätze mal das es beim Stein genauso ist?,That's amazing! I guess it'S gonna be the same for stone?
ta33040c119,Du hast es kapiert! Ich krieg bald endlich essen!,You finally got it. Soon i'll have something to eat :D
te69513ac8e,Später musst du natürlich die Resourcen noch weiterverarbeiten! Ich esse doch nicht immer das gleiche!,You'll have to process your ressources later on since I don't want to eat the same thing over and over again.
taae605e7fd,"Einiges kannst du später nur durch Machinen bekommen, z.B. Holz -> Holzkohle im Ofen!",A few things can only be obtained by using a machine to craft them. e.g. Charcoal by using the oven.
t72750dea07,Aber jetzt mal nicht so schnell! Okay?,And now hurry okay?
t100a7030ba,Wie funktioniert überhaupt die Steuerung?,How do the controlls even work?
td6548d7e7d,"Stimmt. Ja, WASD um dich zu bewegen und nutze die Maus um mit Sachen zu interagieren!",Right. Use WASD to move around and the mouse to interact with things.
ta34f18a864,"Vergiss auch nicht, mal auf ESC (Inventar) oder auf J (Baumenü) zu drücken!",And remember to press ESC (Inventory) or J (Buildmenu) from time to time.
t4bea03db46,"Soll ganz nützlich sein, wenn du das Spiel spielen willst.",Could be useful while playing the game.
t23c63bf05b,Das macht natürlich Sinn!,Makes sense.
t836ba11448,Ich glaube du musst mir die Steuerung nochmal erklären.,I think you'll have to explain the controlls again.
ta98e4dd443,"Gut, dann solltest du jetzt das wichtigste Wissen besitzen.",Allright. With that you should now 
tff81457ada,"Wenn du noch weitere Hilfe brauchst, guck unbedingt mal unter ESC (Hilfe)",If you still need more help press ESC (help)
t39bf92d88e,"Da stehen, je nachdem wie weit du bist, nützliche Informationen!","Depending on your progress, there might be some usefull information."
t3d69869698,"Ich starte dann mal den Timer, bis ich unbedingt was zu essen haben muss.",I'll start the timer for when I need to eat sometihing again.
t1ef92e7d3a,"Bleib in der Zeit, bring mir die geforderten Resourcen und ich werde dich nicht essen!","Try to stay within the time limit, bring me the ressources I want and then I won't eat you. "
t30404fb74f,Man. Da kriegt man ja gleich selber hunger auf ein Stück Holz!,Damn. Almost makes you want to eat a pice of wood yourself.
t70ea09bd21,"Also - Resourcen farmen, weiter verarbeiten, eventuell automatisieren und den dieser Insel immer etwas zu essen bringen!","So let me get that right, farm resscourses, process them, automate the process eventually and always get the island smth to eat."
te3bba6defc,Das krieg sogar ich hin!,Even I can do that.
Boss,Chef,Boss
Spieler,Spieler,Player
